intent,category,question,answer
minimum_order,Orders,"Boss, Naeza order kitu kimoja tu?","No minimum order — you can buy just one item if you like, though delivery fees apply per order regardless of size."
payment_confirmation,Payment,"Niaje, Nimetuma pesa, umepokea?",Let us confirm on our end — please share the M-Pesa transaction message/code so we can verify quickly and process your order.
installment_payment,Payments,"Quick question, Is there a payment plan je?",We currently don't offer installment payments — full payment is required upfront via M-Pesa or on delivery within Nairobi.
product_availability,Products,Mko na hii design kwa size gani?,Let us check current stock for you — please share the product name or picture and the size/color you want.
restock_notification,Products,Please notify me when available again basi?,We restock popular items every 1-2 weeks. Message us the item name and we'll notify you as soon as it's back.
product_care_instructions,Products,"Samahani, Naosha hii item aje?",Care instructions vary by product — we'll include a care label or send you specific washing/handling tips with your order.
complaint_escalation,General,"Hey, Naomba kuongea na manager kuhusu tatizo?","We're sorry for any inconvenience. Please describe the issue and your order number here, and our team lead will personally follow up within a day."
wrong_item,Returns,"Niaje, I got a damaged item basi?","Sorry about that! Please send us a photo of the item you received along with your order number, and we'll arrange a replacement or refund."
order_status,Orders,Umeshtuma bidhaa zangu?,Let us check for you — please share your order number or the phone number used to place the order so we can track its current status.
order_status,Orders,"Naomba kuuliza, What's the status of my order naomba msaada?",Let us check for you — please share your order number or the phone number used to place the order so we can track its current status.
greeting,General,Mambo vipi,Hi there! Welcome to Duka Fresh 👋 How can I help you today?
damaged_in_transit,Returns,Item imefika ikiwa imeharibika,We're sorry to hear that! Please send a photo of the damaged item and your order number — we'll replace it or refund you right away.
opening_hours,General,Mnafungua saa ngapi please?,"We're open Monday-Saturday, 8am-7pm, and Sundays 10am-4pm. We're closed on major public holidays."
discount_bulk,Promotions,"Hello, Any ongoing sale basi?",Yes! Orders of 3 items or more get a 10% discount. Follow our WhatsApp status for weekly promo updates too.
payment_confirmation,Payment,"Hey, Umeconfirm payment yangu asante?",Let us confirm on our end — please share the M-Pesa transaction message/code so we can verify quickly and process your order.
greeting,General,"Excuse me, Hello, is anyone there?",Hi there! Welcome to Duka Fresh 👋 How can I help you today?
installment_payment,Payments,"Hello, Naeza lipa nusu leo na nusu next week please?",We currently don't offer installment payments — full payment is required upfront via M-Pesa or on delivery within Nairobi.
damaged_in_transit,Returns,"Boss, Item imefika ikiwa imeharibika basi?",We're sorry to hear that! Please send a photo of the damaged item and your order number — we'll replace it or refund you right away.
damaged_in_transit,Returns,"Niaje, It arrived broken, what do I do please?",We're sorry to hear that! Please send a photo of the damaged item and your order number — we'll replace it or refund you right away.
minimum_order,Orders,Naeza order kitu kimoja tu je?,"No minimum order — you can buy just one item if you like, though delivery fees apply per order regardless of size."
opening_hours,General,Is the shop open today?,"We're open Monday-Saturday, 8am-7pm, and Sundays 10am-4pm. We're closed on major public holidays."
social_media_catalog,General,Where can I follow you online?,"You can browse our full catalog on our Instagram and TikTok pages @dukafresh, or ask us here and we'll send you photos directly."
discount_bulk,Promotions,"Msee, Mko na promotion yoyote?",Yes! Orders of 3 items or more get a 10% discount. Follow our WhatsApp status for weekly promo updates too.
opening_hours,General,"Karibu, mimi ni customer, What time do you close basi?","We're open Monday-Saturday, 8am-7pm, and Sundays 10am-4pm. We're closed on major public holidays."
return_policy,Returns,"Niaje, Return policy yenu ni gani?","You can return or exchange an item within 3 days of delivery, as long as it's unused and in original packaging. Just message us with your order number."
mpesa_payment,Payment,"Boss, Send me the paybill number sasa?","Yes, we accept M-Pesa! Our Till Number is 123456 (Duka Fresh Shop). You can also pay cash on delivery within Nairobi."
payment_confirmation,Payment,"I have sent the money, have you received it?",Let us confirm on our end — please share the M-Pesa transaction message/code so we can verify quickly and process your order.
location_directions,General,"Hi, Duka lenu liko wapi naomba msaada?","We're located in Nairobi CBD, along Moi Avenue, 2nd floor Duka Fresh House. Message us for exact directions or a Google Maps pin."
legitimacy_scam_concern,General,"Msee, Mko registered kihalali?","Yes, we're a registered small business that's been operating since 2021. You can pay via M-Pesa till (safer than sending to a personal number) or cash on delivery."
mpesa_payment,Payment,"Hey, Paybill na account number ni gani?","Yes, we accept M-Pesa! Our Till Number is 123456 (Duka Fresh Shop). You can also pay cash on delivery within Nairobi."
receipt_request,Payments,"Hi, Nataka invoice kwa order nisaidie?",Of course — we send an e-receipt via WhatsApp once payment is confirmed. Let us know if you need it for business/accounting purposes.
wholesale_reseller,Products,"Niaje, Naeza pata bei ya wholesale nisaidie?","Yes, we supply wholesale for resellers and shopkeepers. Message us the quantity you need and we'll send you wholesale pricing."
greeting,General,"Hi, Hi asante?",Hi there! Welcome to Duka Fresh 👋 How can I help you today?
delivery_cost,Delivery,"Habari, Delivery fee ni how much tafadhali?","Delivery within Nairobi CBD costs Ksh 150, other Nairobi areas Ksh 200-300. Upcountry deliveries via courier range from Ksh 300-600 depending on location."
receipt_request,Payments,Nataka invoice kwa order,Of course — we send an e-receipt via WhatsApp once payment is confirmed. Let us know if you need it for business/accounting purposes.
installment_payment,Payments,"Habari, Can I pay in installments nisaidie?",We currently don't offer installment payments — full payment is required upfront via M-Pesa or on delivery within Nairobi.
delivery_time,Delivery,How many days for delivery to Kisumu?,"Within Nairobi, delivery usually takes 1-2 days via boda. Outside Nairobi, it takes 2-4 days depending on the courier (e.g. Wells Fargo, G4S)."
complaint_escalation,General,"Niaje, Nataka kulalamika kuhusu huduma please?","We're sorry for any inconvenience. Please describe the issue and your order number here, and our team lead will personally follow up within a day."
discount_bulk,Promotions,"Naomba kuuliza, Bei inashuka nikichukua zaidi ya moja nisaidie?",Yes! Orders of 3 items or more get a 10% discount. Follow our WhatsApp status for weekly promo updates too.
receipt_request,Payments,Do you issue invoices naomba msaada?,Of course — we send an e-receipt via WhatsApp once payment is confirmed. Let us know if you need it for business/accounting purposes.
delivery_time,Delivery,"Hey, How long does delivery take please?","Within Nairobi, delivery usually takes 1-2 days via boda. Outside Nairobi, it takes 2-4 days depending on the courier (e.g. Wells Fargo, G4S)."
legitimacy_scam_concern,General,"Poa, Do you have reviews from other customers nisaidie?","Yes, we're a registered small business that's been operating since 2021. You can pay via M-Pesa till (safer than sending to a personal number) or cash on delivery."
installment_payment,Payments,"Hi, Can I pay in installments?",We currently don't offer installment payments — full payment is required upfront via M-Pesa or on delivery within Nairobi.
price_negotiation,Products,Hakuna low price kidogo?,"Our prices are already quite fair, but for orders of 3+ items we do offer a discount. What quantity are you looking at?"
gift_wrapping,Products,"Hello, Is gift wrapping available asante?",Yes! Just mention it's a gift when ordering and we'll wrap it nicely at no extra cost.
order_status,Orders,Where is my order?,Let us check for you — please share your order number or the phone number used to place the order so we can track its current status.
product_care_instructions,Products,"Sasa, Can it be machine washed asante?",Care instructions vary by product — we'll include a care label or send you specific washing/handling tips with your order.
refund_status,Returns,"Msee, Pesa ya refund itaenda lini kwa M-Pesa?","Refunds are processed within 24-48 hours back to the M-Pesa number used for payment. If it's been longer, please share your order number so we can check."
return_policy,Returns,"Quick question, Naeza change size ya item basi?","You can return or exchange an item within 3 days of delivery, as long as it's unused and in original packaging. Just message us with your order number."
refund_status,Returns,"Excuse me, When will I get my refund naomba msaada?","Refunds are processed within 24-48 hours back to the M-Pesa number used for payment. If it's been longer, please share your order number so we can check."
mpesa_payment,Payment,How do I pay via M-Pesa?,"Yes, we accept M-Pesa! Our Till Number is 123456 (Duka Fresh Shop). You can also pay cash on delivery within Nairobi."
international_shipping,Delivery,"Poa, Mnatuma nje ya Kenya please?",At the moment we only deliver within Kenya. We're working on international shipping for the future — stay tuned!
receipt_request,Payments,I need proof of purchase,Of course — we send an e-receipt via WhatsApp once payment is confirmed. Let us know if you need it for business/accounting purposes.
opening_hours,General,"Niaje, Mnafungua saa ngapi?","We're open Monday-Saturday, 8am-7pm, and Sundays 10am-4pm. We're closed on major public holidays."
damaged_in_transit,Returns,My item arrived broken asante?,We're sorry to hear that! Please send a photo of the damaged item and your order number — we'll replace it or refund you right away.
delivery_cost,Delivery,Delivery ni bei gani?,"Delivery within Nairobi CBD costs Ksh 150, other Nairobi areas Ksh 200-300. Upcountry deliveries via courier range from Ksh 300-600 depending on location."
product_care_instructions,Products,"Sasa, Naosha hii item aje je?",Care instructions vary by product — we'll include a care label or send you specific washing/handling tips with your order.
greeting,General,"Karibu, mimi ni customer, Sasa?",Hi there! Welcome to Duka Fresh 👋 How can I help you today?
refund_status,Returns,"Karibu, mimi ni customer, Refund yangu itafika lini nisaidie?","Refunds are processed within 24-48 hours back to the M-Pesa number used for payment. If it's been longer, please share your order number so we can check."
product_care_instructions,Products,"Quick question, Do I need to hand wash this asante?",Care instructions vary by product — we'll include a care label or send you specific washing/handling tips with your order.
social_media_catalog,General,"Samahani, Mko na Instagram au TikTok please?","You can browse our full catalog on our Instagram and TikTok pages @dukafresh, or ask us here and we'll send you photos directly."
discount_bulk,Promotions,"Boss, Mko na promotion yoyote je?",Yes! Orders of 3 items or more get a 10% discount. Follow our WhatsApp status for weekly promo updates too.
product_availability,Products,"Karibu, mimi ni customer, Is the red one still available?",Let us check current stock for you — please share the product name or picture and the size/color you want.
product_availability,Products,Do you have this in stock?,Let us check current stock for you — please share the product name or picture and the size/color you want.
discount_bulk,Promotions,"Hello, Kuna discount ukibuy vitu vingi sasa?",Yes! Orders of 3 items or more get a 10% discount. Follow our WhatsApp status for weekly promo updates too.
combine_orders,Orders,"Naomba kuuliza, Can you merge my orders to save on delivery?","Yes, just let us know both order numbers before dispatch and we'll combine them into a single delivery to save on shipping."
installment_payment,Payments,"Sasa, Can I pay in installments nisaidie?",We currently don't offer installment payments — full payment is required upfront via M-Pesa or on delivery within Nairobi.
price_negotiation,Products,"Karibu, mimi ni customer, Punguza kidogo bei?","Our prices are already quite fair, but for orders of 3+ items we do offer a discount. What quantity are you looking at?"
wholesale_reseller,Products,Can I become a stockist for your products nisaidie?,"Yes, we supply wholesale for resellers and shopkeepers. Message us the quantity you need and we'll send you wholesale pricing."
location_directions,General,"Hello, Mko karibu na wapi?","We're located in Nairobi CBD, along Moi Avenue, 2nd floor Duka Fresh House. Message us for exact directions or a Google Maps pin."
international_shipping,Delivery,"Hey, Do you ship outside Kenya tafadhali?",At the moment we only deliver within Kenya. We're working on international shipping for the future — stay tuned!
order_status,Orders,"Sasa, Has my order been shipped basi?",Let us check for you — please share your order number or the phone number used to place the order so we can track its current status.
cancel_order,Orders,"Sitaki tena hii order, cancel?","No problem — if your order hasn't been dispatched yet, we can cancel it and refund via M-Pesa. Please share your order number to proceed."
social_media_catalog,General,Naomba muniangushie catalog,"You can browse our full catalog on our Instagram and TikTok pages @dukafresh, or ask us here and we'll send you photos directly."
greeting,General,"Hi, poa naomba kujua?",Hi there! Welcome to Duka Fresh 👋 How can I help you today?
delivery_cost,Delivery,Delivery fee ni how much?,"Delivery within Nairobi CBD costs Ksh 150, other Nairobi areas Ksh 200-300. Upcountry deliveries via courier range from Ksh 300-600 depending on location."
installment_payment,Payments,"Quick question, Naeza lipa pole pole?",We currently don't offer installment payments — full payment is required upfront via M-Pesa or on delivery within Nairobi.
social_media_catalog,General,Where can I follow you online tafadhali?,"You can browse our full catalog on our Instagram and TikTok pages @dukafresh, or ask us here and we'll send you photos directly."
opening_hours,General,What are your working hours?,"We're open Monday-Saturday, 8am-7pm, and Sundays 10am-4pm. We're closed on major public holidays."
combine_orders,Orders,"Excuse me, Naeza unganisha order mbili ziende pamoja je?","Yes, just let us know both order numbers before dispatch and we'll combine them into a single delivery to save on shipping."
goodbye,General,"Poa, That's all, goodbye?",You're welcome! Karibu tena — feel free to message us anytime. 😊
payment_confirmation,Payment,Umepokea pesa ya order yangu?,Let us confirm on our end — please share the M-Pesa transaction message/code so we can verify quickly and process your order.
refund_status,Returns,"Habari, Umenirudishia pesa please?","Refunds are processed within 24-48 hours back to the M-Pesa number used for payment. If it's been longer, please share your order number so we can check."
cancel_order,Orders,"Hello, Nimebadili mawazo, cancel order nisaidie?","No problem — if your order hasn't been dispatched yet, we can cancel it and refund via M-Pesa. Please share your order number to proceed."
delivery_cost,Delivery,What's the shipping fee to Mombasa?,"Delivery within Nairobi CBD costs Ksh 150, other Nairobi areas Ksh 200-300. Upcountry deliveries via courier range from Ksh 300-600 depending on location."
damaged_in_transit,Returns,"Naomba kuuliza, It arrived broken, what do I do nisaidie?",We're sorry to hear that! Please send a photo of the damaged item and your order number — we'll replace it or refund you right away.
combine_orders,Orders,"Quick question, Can I combine two orders into one delivery asante?","Yes, just let us know both order numbers before dispatch and we'll combine them into a single delivery to save on shipping."
international_shipping,Delivery,Mnatuma nje ya Kenya please?,At the moment we only deliver within Kenya. We're working on international shipping for the future — stay tuned!
social_media_catalog,General,"Naomba kuuliza, Send me your product catalog?","You can browse our full catalog on our Instagram and TikTok pages @dukafresh, or ask us here and we'll send you photos directly."
goodbye,General,Ok bye bye,You're welcome! Karibu tena — feel free to message us anytime. 😊
complaint_escalation,General,Nataka kulalamika kuhusu huduma,"We're sorry for any inconvenience. Please describe the issue and your order number here, and our team lead will personally follow up within a day."
opening_hours,General,"Hey, Do you work on public holidays asante?","We're open Monday-Saturday, 8am-7pm, and Sundays 10am-4pm. We're closed on major public holidays."
location_directions,General,"Hey, Naomba pin ya location yenu naomba kujua?","We're located in Nairobi CBD, along Moi Avenue, 2nd floor Duka Fresh House. Message us for exact directions or a Google Maps pin."
wholesale_reseller,Products,Can I become a stockist for your products?,"Yes, we supply wholesale for resellers and shopkeepers. Message us the quantity you need and we'll send you wholesale pricing."
opening_hours,General,Are you open on Sundays?,"We're open Monday-Saturday, 8am-7pm, and Sundays 10am-4pm. We're closed on major public holidays."
price_negotiation,Products,"Naomba kuuliza, Can you reduce the price a bit basi?","Our prices are already quite fair, but for orders of 3+ items we do offer a discount. What quantity are you looking at?"
courier_tracking_number,Delivery,"Sasa, How do I track my parcel with the courier nisaidie?",We'll share your courier's tracking number (e.g. G4S or Wells Fargo) via WhatsApp as soon as your order is dispatched.
restock_notification,Products,"Hello, When will this be back in stock naomba msaada?",We restock popular items every 1-2 weeks. Message us the item name and we'll notify you as soon as it's back.
restock_notification,Products,"Hello, Please notify me when available again?",We restock popular items every 1-2 weeks. Message us the item name and we'll notify you as soon as it's back.
social_media_catalog,General,"Karibu, mimi ni customer, Naomba muniangushie catalog naomba kujua?","You can browse our full catalog on our Instagram and TikTok pages @dukafresh, or ask us here and we'll send you photos directly."
complaint_escalation,General,"Habari, How do I raise a complaint nisaidie?","We're sorry for any inconvenience. Please describe the issue and your order number here, and our team lead will personally follow up within a day."
international_shipping,Delivery,"Samahani, Mnatuma nje ya Kenya basi?",At the moment we only deliver within Kenya. We're working on international shipping for the future — stay tuned!
minimum_order,Orders,"Habari, Is there a minimum order amount sasa?","No minimum order — you can buy just one item if you like, though delivery fees apply per order regardless of size."
legitimacy_scam_concern,General,Are you a genuine seller tafadhali?,"Yes, we're a registered small business that's been operating since 2021. You can pay via M-Pesa till (safer than sending to a personal number) or cash on delivery."
cancel_order,Orders,Is it possible to cancel after paying?,"No problem — if your order hasn't been dispatched yet, we can cancel it and refund via M-Pesa. Please share your order number to proceed."
return_policy,Returns,Return policy yenu ni gani?,"You can return or exchange an item within 3 days of delivery, as long as it's unused and in original packaging. Just message us with your order number."
gift_wrapping,Products,"Excuse me, Is gift wrapping available basi?",Yes! Just mention it's a gift when ordering and we'll wrap it nicely at no extra cost.
complaint_escalation,General,"Msee, How do I raise a complaint?","We're sorry for any inconvenience. Please describe the issue and your order number here, and our team lead will personally follow up within a day."
opening_hours,General,"Msee, What time do you close sasa?","We're open Monday-Saturday, 8am-7pm, and Sundays 10am-4pm. We're closed on major public holidays."
delivery_time,Delivery,Is delivery same day?,"Within Nairobi, delivery usually takes 1-2 days via boda. Outside Nairobi, it takes 2-4 days depending on the courier (e.g. Wells Fargo, G4S)."
installment_payment,Payments,"Hey, Do you have a layby option?",We currently don't offer installment payments — full payment is required upfront via M-Pesa or on delivery within Nairobi.
discount_bulk,Promotions,Bei inashuka nikichukua zaidi ya moja?,Yes! Orders of 3 items or more get a 10% discount. Follow our WhatsApp status for weekly promo updates too.
order_status,Orders,"Hi, Umetuma order yangu basi?",Let us check for you — please share your order number or the phone number used to place the order so we can track its current status.
discount_bulk,Promotions,"Quick question, Can I get a discount for bulk order basi?",Yes! Orders of 3 items or more get a 10% discount. Follow our WhatsApp status for weekly promo updates too.
greeting,General,"Excuse me, Hello naomba msaada?",Hi there! Welcome to Duka Fresh 👋 How can I help you today?
combine_orders,Orders,"Excuse me, I made two separate orders, can they be delivered together?","Yes, just let us know both order numbers before dispatch and we'll combine them into a single delivery to save on shipping."
payment_confirmation,Payment,"Poa, Nimesend pesa saa hii, angalia naomba msaada?",Let us confirm on our end — please share the M-Pesa transaction message/code so we can verify quickly and process your order.
wholesale_reseller,Products,"Poa, Do you sell wholesale?","Yes, we supply wholesale for resellers and shopkeepers. Message us the quantity you need and we'll send you wholesale pricing."
price_negotiation,Products,"Samahani, Can you reduce the price a bit?","Our prices are already quite fair, but for orders of 3+ items we do offer a discount. What quantity are you looking at?"
order_status,Orders,Is my parcel on the way?,Let us check for you — please share your order number or the phone number used to place the order so we can track its current status.
social_media_catalog,General,Do you have a Facebook page naomba msaada?,"You can browse our full catalog on our Instagram and TikTok pages @dukafresh, or ask us here and we'll send you photos directly."
delivery_cost,Delivery,"Karibu, mimi ni customer, Is delivery free?","Delivery within Nairobi CBD costs Ksh 150, other Nairobi areas Ksh 200-300. Upcountry deliveries via courier range from Ksh 300-600 depending on location."
refund_status,Returns,"Karibu, mimi ni customer, Refund yangu itafika lini asante?","Refunds are processed within 24-48 hours back to the M-Pesa number used for payment. If it's been longer, please share your order number so we can check."
product_availability,Products,"Sasa, Do you have this in stock basi?",Let us check current stock for you — please share the product name or picture and the size/color you want.
courier_tracking_number,Delivery,"Naomba kuuliza, Can you give me a tracking number tafadhali?",We'll share your courier's tracking number (e.g. G4S or Wells Fargo) via WhatsApp as soon as your order is dispatched.
international_shipping,Delivery,"Quick question, Mnatuma nje ya Kenya please?",At the moment we only deliver within Kenya. We're working on international shipping for the future — stay tuned!
return_policy,Returns,"Poa, Ninaeza rudisha item baada ya siku ngapi nisaidie?","You can return or exchange an item within 3 days of delivery, as long as it's unused and in original packaging. Just message us with your order number."
international_shipping,Delivery,"Hello, Can you deliver to Uganda?",At the moment we only deliver within Kenya. We're working on international shipping for the future — stay tuned!
price_negotiation,Products,"Hi, Naomba discount kidogo sasa?","Our prices are already quite fair, but for orders of 3+ items we do offer a discount. What quantity are you looking at?"
social_media_catalog,General,"Habari, Where can I follow you online nisaidie?","You can browse our full catalog on our Instagram and TikTok pages @dukafresh, or ask us here and we'll send you photos directly."
installment_payment,Payments,Can I pay in installments?,We currently don't offer installment payments — full payment is required upfront via M-Pesa or on delivery within Nairobi.
restock_notification,Products,Mtapata stock tena lini?,We restock popular items every 1-2 weeks. Message us the item name and we'll notify you as soon as it's back.
return_policy,Returns,"Hi, Ninaeza rudisha item baada ya siku ngapi basi?","You can return or exchange an item within 3 days of delivery, as long as it's unused and in original packaging. Just message us with your order number."
social_media_catalog,General,"Habari, Do you have a Facebook page sasa?","You can browse our full catalog on our Instagram and TikTok pages @dukafresh, or ask us here and we'll send you photos directly."
payment_confirmation,Payment,"Hello, Nimetuma pesa, umepokea basi?",Let us confirm on our end — please share the M-Pesa transaction message/code so we can verify quickly and process your order.
return_policy,Returns,"Hi, Can I return an item if I don't like it naomba kujua?","You can return or exchange an item within 3 days of delivery, as long as it's unused and in original packaging. Just message us with your order number."
contact_human,General,Please connect me to someone asante?,"Of course! You can reach our customer care team directly on 0712 345 678 (call or WhatsApp), available 8am-7pm daily."
order_status,Orders,Order iko na rider gani?,Let us check for you — please share your order number or the phone number used to place the order so we can track its current status.
receipt_request,Payments,Can I get a receipt for my purchase?,Of course — we send an e-receipt via WhatsApp once payment is confirmed. Let us know if you need it for business/accounting purposes.
return_policy,Returns,"Hey, Naeza return bidhaa?","You can return or exchange an item within 3 days of delivery, as long as it's unused and in original packaging. Just message us with your order number."
legitimacy_scam_concern,General,"Samahani, How do I know this isn't a scam sasa?","Yes, we're a registered small business that's been operating since 2021. You can pay via M-Pesa till (safer than sending to a personal number) or cash on delivery."
mpesa_payment,Payment,Naeza lipa na M-Pesa?,"Yes, we accept M-Pesa! Our Till Number is 123456 (Duka Fresh Shop). You can also pay cash on delivery within Nairobi."
gift_wrapping,Products,"Karibu, mimi ni customer, Can you gift wrap my order nisaidie?",Yes! Just mention it's a gift when ordering and we'll wrap it nicely at no extra cost.
installment_payment,Payments,"Hey, Do you have a layby option tafadhali?",We currently don't offer installment payments — full payment is required upfront via M-Pesa or on delivery within Nairobi.
product_care_instructions,Products,Naosha hii item aje?,Care instructions vary by product — we'll include a care label or send you specific washing/handling tips with your order.
refund_status,Returns,Has my refund been processed?,"Refunds are processed within 24-48 hours back to the M-Pesa number used for payment. If it's been longer, please share your order number so we can check."
discount_bulk,Promotions,Any ongoing sale?,Yes! Orders of 3 items or more get a 10% discount. Follow our WhatsApp status for weekly promo updates too.
combine_orders,Orders,"Naomba kuuliza, Can I combine two orders into one delivery naomba kujua?","Yes, just let us know both order numbers before dispatch and we'll combine them into a single delivery to save on shipping."
complaint_escalation,General,"Habari, Naomba kuongea na manager kuhusu tatizo?","We're sorry for any inconvenience. Please describe the issue and your order number here, and our team lead will personally follow up within a day."
receipt_request,Payments,"Hey, Naomba receipt ya order yangu sasa?",Of course — we send an e-receipt via WhatsApp once payment is confirmed. Let us know if you need it for business/accounting purposes.
refund_status,Returns,Refund inachukua muda gani?,"Refunds are processed within 24-48 hours back to the M-Pesa number used for payment. If it's been longer, please share your order number so we can check."
product_availability,Products,"Excuse me, Is the red one still available sasa?",Let us check current stock for you — please share the product name or picture and the size/color you want.
product_care_instructions,Products,"Naomba kuuliza, How do I take care of this item please?",Care instructions vary by product — we'll include a care label or send you specific washing/handling tips with your order.
return_policy,Returns,What is your return policy?,"You can return or exchange an item within 3 days of delivery, as long as it's unused and in original packaging. Just message us with your order number."
mpesa_payment,Payment,Do you accept M-Pesa only?,"Yes, we accept M-Pesa! Our Till Number is 123456 (Duka Fresh Shop). You can also pay cash on delivery within Nairobi."
restock_notification,Products,"Msee, Mkipata stock nijulishe tafadhali asante?",We restock popular items every 1-2 weeks. Message us the item name and we'll notify you as soon as it's back.
discount_bulk,Promotions,"Quick question, Do you have discounts sasa?",Yes! Orders of 3 items or more get a 10% discount. Follow our WhatsApp status for weekly promo updates too.
combine_orders,Orders,"Hi, Can I combine two orders into one delivery naomba msaada?","Yes, just let us know both order numbers before dispatch and we'll combine them into a single delivery to save on shipping."
product_care_instructions,Products,"Msee, How do I take care of this item je?",Care instructions vary by product — we'll include a care label or send you specific washing/handling tips with your order.
price_negotiation,Products,"Hi, Can we negotiate the price naomba kujua?","Our prices are already quite fair, but for orders of 3+ items we do offer a discount. What quantity are you looking at?"
contact_human,General,"Excuse me, Naomba nizungumze na mtu wa kweli naomba msaada?","Of course! You can reach our customer care team directly on 0712 345 678 (call or WhatsApp), available 8am-7pm daily."
receipt_request,Payments,"Niaje, Can you email me a receipt sasa?",Of course — we send an e-receipt via WhatsApp once payment is confirmed. Let us know if you need it for business/accounting purposes.
international_shipping,Delivery,Do you ship outside Kenya nisaidie?,At the moment we only deliver within Kenya. We're working on international shipping for the future — stay tuned!
cancel_order,Orders,"Boss, Nimebadili mawazo, cancel order basi?","No problem — if your order hasn't been dispatched yet, we can cancel it and refund via M-Pesa. Please share your order number to proceed."
restock_notification,Products,"Hi, Mtapata stock tena lini naomba kujua?",We restock popular items every 1-2 weeks. Message us the item name and we'll notify you as soon as it's back.
social_media_catalog,General,"Karibu, mimi ni customer, Naomba muniangushie catalog basi?","You can browse our full catalog on our Instagram and TikTok pages @dukafresh, or ask us here and we'll send you photos directly."
contact_human,General,"Hey, Naeza ongea na mtu?","Of course! You can reach our customer care team directly on 0712 345 678 (call or WhatsApp), available 8am-7pm daily."
social_media_catalog,General,"Hey, Do you have a Facebook page basi?","You can browse our full catalog on our Instagram and TikTok pages @dukafresh, or ask us here and we'll send you photos directly."
opening_hours,General,"Excuse me, Mnafungua saa ngapi naomba msaada?","We're open Monday-Saturday, 8am-7pm, and Sundays 10am-4pm. We're closed on major public holidays."
wrong_item,Returns,"Samahani, I received the wrong item tafadhali?","Sorry about that! Please send us a photo of the item you received along with your order number, and we'll arrange a replacement or refund."
discount_bulk,Promotions,Any offers this week?,Yes! Orders of 3 items or more get a 10% discount. Follow our WhatsApp status for weekly promo updates too.
payment_confirmation,Payment,Umeconfirm payment yangu?,Let us confirm on our end — please share the M-Pesa transaction message/code so we can verify quickly and process your order.
goodbye,General,"Niaje, Nimeshukuru, kwaheri nisaidie?",You're welcome! Karibu tena — feel free to message us anytime. 😊
international_shipping,Delivery,Mnatuma nje ya Kenya?,At the moment we only deliver within Kenya. We're working on international shipping for the future — stay tuned!
contact_human,General,"Hello, Is there a human I can chat with please?","Of course! You can reach our customer care team directly on 0712 345 678 (call or WhatsApp), available 8am-7pm daily."
damaged_in_transit,Returns,"Boss, My item arrived broken?",We're sorry to hear that! Please send a photo of the damaged item and your order number — we'll replace it or refund you right away.
return_policy,Returns,Naeza return bidhaa?,"You can return or exchange an item within 3 days of delivery, as long as it's unused and in original packaging. Just message us with your order number."
wrong_item,Returns,I got a damaged item,"Sorry about that! Please send us a photo of the item you received along with your order number, and we'll arrange a replacement or refund."
mpesa_payment,Payment,Naomba number ya kutuma pesa,"Yes, we accept M-Pesa! Our Till Number is 123456 (Duka Fresh Shop). You can also pay cash on delivery within Nairobi."
gift_wrapping,Products,"Quick question, Do you offer gift packaging tafadhali?",Yes! Just mention it's a gift when ordering and we'll wrap it nicely at no extra cost.
damaged_in_transit,Returns,"Hi, Bidhaa imekuja ikiwa mbovu tafadhali?",We're sorry to hear that! Please send a photo of the damaged item and your order number — we'll replace it or refund you right away.
combine_orders,Orders,"Excuse me, Naeza unganisha order mbili ziende pamoja?","Yes, just let us know both order numbers before dispatch and we'll combine them into a single delivery to save on shipping."
minimum_order,Orders,"Hello, Kuna minimum order?","No minimum order — you can buy just one item if you like, though delivery fees apply per order regardless of size."
location_directions,General,"Habari, Where is your shop located please?","We're located in Nairobi CBD, along Moi Avenue, 2nd floor Duka Fresh House. Message us for exact directions or a Google Maps pin."
price_negotiation,Products,"Poa, Can you reduce the price a bit je?","Our prices are already quite fair, but for orders of 3+ items we do offer a discount. What quantity are you looking at?"
international_shipping,Delivery,Do you ship outside Kenya?,At the moment we only deliver within Kenya. We're working on international shipping for the future — stay tuned!
wholesale_reseller,Products,"Sasa, Can I become a stockist for your products please?","Yes, we supply wholesale for resellers and shopkeepers. Message us the quantity you need and we'll send you wholesale pricing."
delivery_time,Delivery,"Habari, How long does delivery take tafadhali?","Within Nairobi, delivery usually takes 1-2 days via boda. Outside Nairobi, it takes 2-4 days depending on the courier (e.g. Wells Fargo, G4S)."
product_availability,Products,"Hey, Mko na hii design kwa size gani sasa?",Let us check current stock for you — please share the product name or picture and the size/color you want.
courier_tracking_number,Delivery,Naomba tracking number ya order yangu,We'll share your courier's tracking number (e.g. G4S or Wells Fargo) via WhatsApp as soon as your order is dispatched.
wrong_item,Returns,Umenitumia size mbaya asante?,"Sorry about that! Please send us a photo of the item you received along with your order number, and we'll arrange a replacement or refund."
product_care_instructions,Products,"Karibu, mimi ni customer, How do I take care of this item please?",Care instructions vary by product — we'll include a care label or send you specific washing/handling tips with your order.
product_availability,Products,"Sasa, Mnayo hii kwa size medium naomba msaada?",Let us check current stock for you — please share the product name or picture and the size/color you want.
return_policy,Returns,Can I return an item if I don't like it tafadhali?,"You can return or exchange an item within 3 days of delivery, as long as it's unused and in original packaging. Just message us with your order number."
